STA,DATE,YEAR,MONTH,MONTH#,[TChl a],Perid,But fuco,Fuco,Zea,Gyr diester,Average,[TChl a].1,Perid.1,But fuco.1,Fuco.1,Zea.1,Gyr diester.1,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
5.0,1999-10-12,1999.0,OCTOBER,10.0,6.186116803923563,0.14854642216666666,0.0,0.617670452,0.03252726733333333,no data,1999,2.0514008957875074,0.07513306624074075,0.0020921362222222225,0.2035271175,0.007363727722222223,,,,,
7.0,1999-10-13,1999.0,OCTOBER,10.0,3.561829782567648,0.16553434933333333,0.0,0.3876818436666667,0.014024393666666666,no data,,,,,,,,,,,
14.0,1999-10-12,1999.0,OCTOBER,10.0,1.757054873951207,0.07106117016666667,0.0,0.2017515403333333,0.0,no data,,,,,,,,,,,
5.0,1999-11-08,1999.0,NOVEMBER,11.0,1.0695950602526303,0.008861352000000001,0.0,0.040543138500000006,0.006682391166666667,no data,,,,,,,,,,,
7.0,1999-11-08,1999.0,NOVEMBER,11.0,0.4851754089868166,0.0,0.0,0.03518447783333333,0.0,no data,,,,,,,,,,,
14.0,1999-11-08,1999.0,NOVEMBER,11.0,0.7556507687354451,0.0,0.0,0.044647677999999996,0.0,no data,,,,,,,,,,,
5.0,1999-12-07,1999.0,DECEMBER,12.0,1.2963978786910486,0.068806939,0.0,0.07432022883333335,0.0,no data,,,,,,,,,,,
7.0,1999-12-07,1999.0,DECEMBER,12.0,1.4891287446440764,0.09692942416666667,0.0,0.11124053699999999,0.0,no data,,,,,,,,,,,
14.0,1999-12-07,1999.0,DECEMBER,12.0,1.8616587403351297,0.11645793933333333,0.018829226,0.31870416133333335,0.013039497333333334,no data,Average,[TChl a],Perid,But fuco,Fuco,Zea,Gyr diester,,,,
5.0,2000-01-05,2000.0,JANUARY,1.0,3.2148323476012717,0.052456503333333335,0.0,0.6552658868333333,0.013203758333333336,no data,2000,6.993885100199932,0.3406119566712963,0.12681750300231484,1.881584285337963,0.12051127921759261,,,,,
7.0,2000-01-05,2000.0,JANUARY,1.0,3.459822803042407,0.23095831666666666,0.0,0.4010055313333333,0.015057106833333334,no data,,,,,,,,,,,
14.0,2000-01-05,2000.0,JANUARY,1.0,3.179556966937307,0.12680470966666665,0.0,0.6062798661666667,0.03154600816666667,no data,,,,,,,,,,,
5.0,2000-02-23,2000.0,FEBRUARY,2.0,4.855611586224928,0.27614882166666666,0.0,1.4868349175,0.02924105683333333,no data,,,,,,,,,,,
7.0,2000-02-23,2000.0,FEBRUARY,2.0,2.312719961074235,0.10133514983333333,0.0,0.6336237790000001,0.038387870000000004,no data,,,,,,,,,,,
14.0,2000-02-23,2000.0,FEBRUARY,2.0,3.241145058993837,0.044017524833333335,0.0,1.2114384846666666,0.019160073833333336,no data,,,,,,,,,,,
5.0,2000-03-13,2000.0,MARCH,3.0,3.671994238599447,0.04644431166666666,0.04730247733333333,1.3414158833333334,0.05430544883333333,no data,,,,,,,,,,,
7.0,2000-03-13,2000.0,MARCH,3.0,2.682303864011581,0.0,0.0,0.46975512650000006,0.036092858666666665,no data,,,,,,,,,,,
14.0,2000-03-13,2000.0,MARCH,3.0,3.1011022883411523,0.0430515905,0.0,0.6095159911666667,0.032971865499999996,no data,,,,,,,,,,,
5.0,2000-04-11,2000.0,APRIL,4.0,3.902905239969595,0.073832206,0.017670699666666664,1.0981972843333332,0.019788472666666664,no data,,,,,,,,,,,
7.0,2000-04-11,2000.0,APRIL,4.0,8.58953558851012,0.10348161233333335,0.0,1.6612509565000002,0.02533035416666667,no data,,,,,,,,,,,
14.0,2000-04-11,2000.0,APRIL,4.0,1.3836903992311675,0.03052107183333333,0.0,0.1991151916666667,0.0,no data,,,,,,,,,,,
5.0,2000-05-16,2000.0,MAY,5.0,7.376997524534369,0.0,0.8900784009999999,3.680431951833333,0.072124285,no data,,,,,,,,,,,
7.0,2000-05-16,2000.0,MAY,5.0,2.985071770154008,0.03357277016666667,0.0,0.1848249406666667,0.03478988516666667,no data,,,,,,,,,,,
14.0,2000-05-16,2000.0,MAY,5.0,0.5614988385210145,0.0,0.0,0.08128231533333333,0.0,no data,,,,,,,,,,,
5.0,2000-06-13,2000.0,JUNE,6.0,23.28963561804335,0.23083937733333332,3.100577621333333,10.088649282666667,0.4064128903333334,no data,,,,,,,,,,,
7.0,2000-06-13,2000.0,JUNE,6.0,21.742745951284697,0.14338315766666668,0.05933193466666666,9.053702221000002,0.2137674893333333,no data,,,,,,,,,,,
14.0,2000-06-13,2000.0,JUNE,6.0,11.069309697066526,0.047996699000000004,0.256681909,4.548152970666666,0.13775459766666667,no data,,,,,,,,,,,
5.0,2000-07-11,2000.0,JULY,7.0,10.902403216943357,0.4626466541666666,0.09569060958333334,2.840494154166666,0.33123802250000006,no data,,,,,,,,,,,
7.0,2000-07-11,2000.0,JULY,7.0,20.148786565769534,5.066925600333334,0.021917322000000003,1.7385050899999999,0.29868528200000005,no data,,,,,,,,,,,
14.0,2000-07-11,2000.0,JULY,7.0,7.81622466121512,0.27285642600000004,0.0141024945,1.172564188,0.077646905,no data,,,,,,,,,,,
5.0,2000-08-15,2000.0,AUGUST,8.0,9.948621239427347,0.23991622016666667,0.013696055666666668,2.8204126221666668,0.6287165306666668,no data,,,,,,,,,,,
7.0,2000-08-15,2000.0,AUGUST,8.0,22.319131627184127,1.7155985483333336,0.0,5.390792817166667,0.6063031640000001,no data,,,,,,,,,,,
14.0,2000-08-15,2000.0,AUGUST,8.0,3.9703120611773604,0.047262535833333334,0.0,1.1982441613333334,0.16750626433333335,no data,,,,,,,,,,,
5.0,2000-09-12,2000.0,SEPTEMBER,9.0,8.58360609251163,0.23122868183333334,0.02190324766666667,2.4231018368333337,0.2036702,no data,,,,,,,,,,,
7.0,2000-09-12,2000.0,SEPTEMBER,9.0,21.080325065578293,0.6724203639999999,0.0,5.399835035666667,0.5074645863333334,no data,,,,,,,,,,,
14.0,2000-09-12,2000.0,SEPTEMBER,9.0,4.813605165410293,0.25598947650000003,0.0,0.6307095171666667,0.04997321133333333,no data,,,,,,,,,,,
5.0,2000-10-18,2000.0,OCTOBER,10.0,4.428124884704741,0.39871628583333335,0.0,0.4871559921666666,0.015461344166666668,no data,,,,,,,,,,,
7.0,2000-10-18,2000.0,OCTOBER,10.0,14.989400775487558,0.16287483249999998,0.026477335666666667,4.563328535666667,0.24104705733333331,no data,,,,,,,,,,,
14.0,2000-10-18,2000.0,OCTOBER,10.0,1.1296373935593171,0.017730776166666667,0.0,0.22293898599999998,0.0,no data,,,,,,,,,,,
5.0,2000-11-18,2000.0,NOVEMBER,11.0,0.933105779128462,0.08804825866666667,0.0,0.0,0.0,no data,,,,,,,,,,,
7.0,2000-11-15,2000.0,NOVEMBER,11.0,1.883422259291733,0.05193653,0.0,0.3251179393333334,0.010636494833333333,no data,,,,,,,,,,,
14.0,2000-11-15,2000.0,NOVEMBER,11.0,1.2404397039227635,0.1665853035,0.0,0.07641700033333333,0.0,no data,,,,,,,,,,,
5.0,2000-12-11,2000.0,DECEMBER,12.0,1.4124404647971747,0.13476555633333334,0.0,0.136171581,0.011902462166666666,no data,,,,,,,,,,,
7.0,2000-12-11,2000.0,DECEMBER,12.0,3.898127895013202,0.5288536601666667,0.0,0.147356459,0.0,no data,,,,,,,,,,,
14.0,2000-12-11,2000.0,DECEMBER,12.0,1.6616690139345036,0.16283090733333336,0.0,0.15314577499999998,0.008220505833333334,no data,Average,[TChl a],Perid,But fuco,Fuco,Zea,Gyr diester,,,,
5.0,2001-01-10,2001.0,JANUARY,1.0,2.6510986984391183,0.20628610616666665,0.0,0.3623145881666666,0.0319201775,no data,2001,6.3721467497182935,0.4089052126609103,0.2528799866929658,1.0825952258862506,0.23076052961960258,,,,,
7.0,2001-01-10,2001.0,JANUARY,1.0,7.544513864409803,0.8391586494999999,0.0,0.7164038481666667,0.046131803500000006,no data,,,,,,,,,,,
14.0,2001-01-10,2001.0,JANUARY,1.0,5.286162294858649,0.4403539891666666,0.0,0.7223629941666667,0.038046218166666666,no data,,,,,,,,,,,
5.0,2001-02-06,2001.0,FEBRUARY,2.0,1.8821120568377148,0.22659578233333336,0.0,0.26857566166666663,0.021796317666666665,no data,,,,,,,,,,,
7.0,2001-02-06,2001.0,FEBRUARY,2.0,4.47392370475497,0.32032852366666664,0.012141691833333334,0.5755128801666667,0.0304546075,no data,,,,,,,,,,,
14.0,2001-02-06,2001.0,FEBRUARY,2.0,5.874902468631269,0.5073773986666666,0.03115510383333333,1.2267358695,0.03828922183333333,no data,,,,,,,,,,,
5.0,2001-03-15,2001.0,MARCH,3.0,5.014497096293214,0.0,0.10580183786666668,1.5262234549333331,0.055605562133333335,no data,,,,,,,,,,,
7.0,2001-03-14,2001.0,MARCH,3.0,5.455953627528198,0.0,0.057272651499999994,1.4004971194999998,0.07193799616666667,no data,,,,,,,,,,,
14.0,2001-03-14,2001.0,MARCH,3.0,6.997810459447276,0.0,0.0849920176,2.3649093776,0.04922015466666667,no data,,,,,,,,,,,
5.0,2001-04-19,2001.0,APRIL,4.0,1.5188435484190554,0.0,0.0,0.424017077,0.018483269833333333,no data,,,,,,,,,,,
7.0,2001-04-16,2001.0,APRIL,4.0,2.3669604981845023,0.034440895,0.0,0.4500242351666667,0.0254156885,no data,,,,,,,,,,,
14.0,2001-04-16,2001.0,APRIL,4.0,1.6275124565939976,0.0,0.0,0.7245479305000001,0.015806769999999998,no data,,,,,,,,,,,
5.0,2001-05-15,2001.0,MAY,5.0,4.506172133717733,0.03961955683333334,0.7577818793333333,1.7679434041666666,0.08191341199999998,no data,,,,,,,,,,,
7.0,2001-05-15,2001.0,MAY,5.0,2.5313860766422454,0.014955208833333336,0.4095453595,0.8618660736666668,0.08297128516666667,no data,,,,,,,,,,,
14.0,2001-05-15,2001.0,MAY,5.0,2.1602217678936753,0.03194303116666666,0.4023932101666666,0.7678883368333334,0.0432597895,no data,,,,,,,,,,,
5.0,2001-06-13,2001.0,JUNE,6.0,24.07288358349061,0.09976275466666668,6.707585342333333,9.0941062165,1.0425682338333333,no data,,,,,,,,,,,
7.0,2001-06-13,2001.0,JUNE,6.0,6.34240669604157,0.07430481833333333,0.0,0.7131911258333333,0.2149306628333333,no data,,,,,,,,,,,
14.0,2001-06-13,2001.0,JUNE,6.0,2.2811221404051065,0.021496599166666668,0.0,0.3592518823333334,0.10611743683333331,no data,,,,,,,,,,,
5.0,2001-07-20,2001.0,JULY,7.0,11.877769247662307,0.1474816342222222,0.09141096844444445,1.9048858733333334,1.2921786453333333,no data,,,,,,,,,,,
7.0,2001-07-20,2001.0,JULY,7.0,13.194572972859174,2.443489299333333,0.04075584533333333,1.4145519148333332,0.33025005516666667,no data,,,,,,,,,,,
14.0,2001-07-20,2001.0,JULY,7.0,6.711364828877562,1.606836,0.028033541666666665,0.6711503493333333,0.22513239699999998,no data,,,,,,,,,,,
5.0,2001-08-15,2001.0,AUGUST,8.0,24.29948126148618,0.13342814333333333,0.12124571199999998,2.918318281666666,2.5594050533333332,no data,,,,,,,,,,,
7.0,2001-08-15,2001.0,AUGUST,8.0,19.393464839280142,0.5019979603333333,0.0,0.8891232676666667,0.7910136033333334,no data,,,,,,,,,,,
14.0,2001-08-15,2001.0,AUGUST,8.0,2.754624321974707,0.22136931649999997,0.0,0.24185720933333335,0.07753378983333334,no data,,,,,,,,,,,
5.0,2001-09-18,2001.0,SEPTEMBER,9.0,3.6413537637524587,0.037298442,0.0,0.6171240606666666,0.04123577233333333,no data,,,,,,,,,,,
7.0,2001-09-11,2001.0,SEPTEMBER,9.0,29.587456852823312,4.700578432333334,0.15914653983333335,3.0990747181666665,0.6988879803333333,no data,,,,,,,,,,,
14.0,2001-09-11,2001.0,SEPTEMBER,9.0,7.521714160635648,1.4301082379999999,0.0,0.5922919793333333,0.12627604816666668,no data,,,,,,,,,,,
5.0,2001-10-16,2001.0,OCTOBER,10.0,2.998085996406898,0.0,0.052162035954882384,0.6197251924087719,0.03941807264731983, no data,,,,,,,,,,,
7.0,2001-10-16,2001.0,OCTOBER,10.0,5.135199881522675,0.3768799490716956,0.010841694102448514,0.5725267381709608,0.033983901968444696, no data,,,,,,,,,,,
14.0,2001-10-16,2001.0,OCTOBER,10.0,1.5955186504831684,0.030222566683733857,0.0,0.17073806332285021,0.013626716086538104, no data,,,,,,,,,,,
5.0,2001-11-06,2001.0,NOVEMBER,11.0,0.7678348661700701,0.0,0.0,0.042579197981704245,0.0, no data,,,,,,,,,,,
7.0,2001-11-06,2001.0,NOVEMBER,11.0,1.406645029527225,0.028979049214946366,0.0,0.1244959305012765,0.01637676738609089, no data,,,,,,,,,,,
14.0,2001-11-06,2001.0,NOVEMBER,11.0,2.1011605648905727,0.022773747592106656,0.03141408964499402,0.44699137236604936,0.020516983256928203, no data,,,,,,,,,,,
5.0,2001-12-04,2001.0,DECEMBER,12.0,1.1329340623276043,0.09141090529142484,0.0,0.15805740557678352,0.006784308732057213, no data,,,,,,,,,,,
7.0,2001-12-04,2001.0,DECEMBER,12.0,1.5298015635710343,0.09111065838331349,0.0,0.09287253643877356,0.01042666029523823, no data,,,,,,,,,,,
14.0,2001-12-04,2001.0,DECEMBER,12.0,1.159816953019184,0.0,0.0,0.07069196493784317,0.00946370346640932, no data,Average,[TChl a],Perid,But fuco,Fuco,Zea,Gyr diester,,,,
5.0,2002-01-15,2002.0,JANUARY,1.0,2.5492834482718494,0.07033929326190934,0.0,0.6802439982127129,0.012396181825899586, no data,2002,6.444525752784113,0.19416975534605083,0.20981701129250566,0.6990089059943636,0.021981646354772164,,,,,
7.0,2002-01-15,2002.0,JANUARY,1.0,6.006413616748155,0.3080815283178005,0.0,1.0162337947508526,0.015866461111538305, no data,,,,,,,,,,,
14.0,2002-01-15,2002.0,JANUARY,1.0,4.3999340380891985,0.07434490216852199,0.0,1.1766496882336346,0.007668391813987591, no data,,,,,,,,,,,
5.0,2002-02-19,2002.0,FEBRUARY,2.0,1.854533430093046,0.0412868746980362,0.07034798137362733,0.7443159790786933,0.04438069131570968, no data,,,,,,,,,,,
7.0,2002-02-19,2002.0,FEBRUARY,2.0,0.8502551184239995,0.04688819032303366,0.0,0.15683745027956378,0.02998502694374859, no data,,,,,,,,,,,
14.0,2002-02-19,2002.0,FEBRUARY,2.0,1.6078379934090927,0.0681788336121442,0.031080649864447717,0.44539199815995645,0.0538754697484013, no data,,,,,,,,,,,
5.0,2002-03-19,2002.0,MARCH,3.0,3.610053518398404,0.045499180051188554,0.06833126298152771,1.2087634448791753,0.030292525366181686, no data,,,,,,,,,,,
7.0,2002-03-21,2002.0,MARCH,3.0,2.591618421090903,0.29483343226158615,0.0,0.24972283257507472,0.01721796508562136, no data,,,,,,,,,,,
14.0,2002-03-21,2002.0,MARCH,3.0,2.1194047915448686,0.026767546310393818,0.0169032663096953,0.5307479311759381,0.008006539974527195, no data,,,,,,,,,,,
5.0,2002-04-16,2002.0,APRIL,4.0,1.9761967751286815,0.03478977455244573,0.0,0.2865802218447087,0.0, no data,,,,,,,,,,,
7.0,2002-04-16,2002.0,APRIL,4.0,2.9363923174920807,0.2730604614842333,0.0,0.23749267560524343,0.0, no data,,,,,,,,,,,
14.0,2002-04-16,2002.0,APRIL,4.0,1.1530343317617153,0.0,0.0,0.2827028774838721,0.010771338373559036, no data,,,,,,,,,,,
5.0,2002-05-15,2002.0,MAY,5.0,2.8598260985117325,,0.0,,, no data,,,,,,,,,,,
7.0,2002-05-15,2002.0,MAY,5.0,2.998574547325499,,0.02795632152815618,,, no data,,,,,,,,,,,
14.0,2002-05-16,2002.0,MAY,5.0,sample lost,,,,,,,,,,,,,,,,
5.0,2002-06-12,2002.0,JUNE,6.0,25.528629066072575,,6.845844967785621,,, no data,,,,,,,,,,,
7.0,2002-06-12,2002.0,JUNE,6.0,10.036838230880262,,0.04509500372322044,,, no data,,,,,,,,,,,
14.0,2002-06-12,2002.0,JUNE,6.0,7.976787559906845,,0.04036181552834581,,, no data,,,,,,,,,,,
5.0,2002-07-17,2002.0,JULY,7.0,16.788386568415582,,0.05834290148987886,,, no data,,,,,,,,,,,
7.0,2002-07-17,2002.0,JULY,7.0,10.100291342997316,,0.03719463677978897,,, no data,,,,,,,,,,,
14.0,2002-07-17,2002.0,JULY,7.0,4.800201090460371,,0.0,,, no data,,,,,,,,,,,
5.0,2002-08-14,2002.0,AUGUST,8.0,13.33498940005825,,0.0,,, no data,,,,,,,,,,,
7.0,2002-08-14,2002.0,AUGUST,8.0,23.279273949963855,,0.0739608194679576,,, no data,,,,,,,,,,,
14.0,2002-08-14,2002.0,AUGUST,8.0,9.458582225307365,,0.0,,, no data,,,,,,,,,,,
5.0,2002-09-18,2002.0,SEPTEMBER,9.0,3.7304174000763646,,0.0,,, no data,,,,,,,,,,,
7.0,2002-09-18,2002.0,SEPTEMBER,9.0,15.586534639669308,,0.028175768405430145,,, no data,,,,,,,,,,,
14.0,2002-09-18,2002.0,SEPTEMBER,9.0,3.076101054591183,,0.0,,, no data,,,,,,,,,,,
5.0,2002-10-15,2002.0,OCTOBER,10.0,7.978774622465214,0.813864604273569,0.0,2.120507649761073,0.05682070651869637,0,,,,,,,,,,,
7.0,2002-10-17,2002.0,OCTOBER,10.0,6.525687482549346,0.4749209723276156,0.0,1.3211793263764937,0.04521408478274951,0,,,,,,,,,,,
14.0,2002-10-17,2002.0,OCTOBER,10.0,2.688328267103026,0.138376226468822,0.0,0.30396266664470595,0.014094094911628077,0,,,,,,,,,,,
5.0,2002-11-15,2002.0,NOVEMBER,11.0,1.7910795730377769,0.15692429022909976,0.0,0.10999846014412767,0.0,0,,,,,,,,,,,
7.0,2002-11-14,2002.0,NOVEMBER,11.0,6.552106823082915,0.11454447940775923,0.0,0.33593046702716356,0.014972813518314459,0,,,,,,,,,,,
14.0,2002-11-14,2002.0,NOVEMBER,11.0,1.810094999529563,0.025436066721756235,0.0,0.09453378652565152,0.010136576891791054,0,,,,,,,,,,,
5.0,2002-12-19,2002.0,DECEMBER,12.0,4.615338824553125,0.2347381230894397,0.0,0.7756862344841358,0.02064924686152946,0,,,,,,,,,,,
7.0,2002-12-18,2002.0,DECEMBER,12.0,6.383543076903149,0.5188776188821693,0.0,1.3366032360412157,0.029856877287001735,0,,,,,,,,,,,
14.0,2002-12-18,2002.0,DECEMBER,12.0,6.003056703531337,0.31581246382554284,0.0,1.2651023065976412,0.03940958111933039,0,Average,[TChl a],Perid,But fuco,Fuco,Zea,Gyr diester,,,,
5.0,2003-01-14,2003.0,JANUARY,1.0,4.526147687175591,0.18910446813080115,0.0,1.5919580401604667,0.04080029744833004,0,2003,7.883319699805347,0.21554267420873022,0.20887429282996572,1.9402830014971515,0.3149098518414944,0.001810473734103341,,,,
7.0,2003-01-15,2003.0,JANUARY,1.0,2.9696606090284443,0.5834326370446363,0.0,0.2621794808062205,0.03643716346720919,0,,,,,,,,,,,
14.0,2003-01-15,2003.0,JANUARY,1.0,4.410332903556098,0.4498201153141437,0.0,0.8695595911497815,0.02496470115359306,0,,,,,,,,,,,
5.0,2003-02-13,2003.0,FEBRUARY,2.0,7.054854705805319,0.387465108960535,0.0,2.3901324552714924,0.08370116899790134,0,,,,,,,,,,,
7.0,2003-02-11,2003.0,FEBRUARY,2.0,3.973030156542082,0.36162083263853767,0.0,1.064634771700906,0.03905504992496206,0,,,,,,,,,,,
14.0,2003-02-11,2003.0,FEBRUARY,2.0,5.264469027006981,0.18842406011308657,0.0,1.350751076935558,0.030673327792956465,0,,,,,,,,,,,
