STA,DATE,YEAR,MONTH,MONTH#,NH4,ZscoreNH4,meanZ,CUSUM,mean NH4,wetdryave
1,1/24/1995,1995,JANUARY,1,4.96,0.190303855,,,,
17,1/24/1995,1995,JANUARY,1,1.96,-0.478674516,,,,
18,1/24/1995,1995,JANUARY,1,1.96,-0.478674516,-0.255681726,,2.96,
1,2/16/1995,1995,FEBRUARY,2,6.18,0.462355059,,,,
17,2/16/1995,1995,FEBRUARY,2,2.27,-0.409546751,,,,
18,2/16/1995,1995,FEBRUARY,2,2.76,-0.300280284,-0.082490659,-0.338172385,3.736666667,
1,3/22/1995,1995,MARCH,3,7.05,0.656358786,,,,
17,3/22/1995,1995,MARCH,3,1.50,-0.581251199,,,,
18,3/22/1995,1995,MARCH,3,0.82,-0.732886297,-0.21925957,-0.557431955,3.123333333,
1,4/19/1995,1995,APRIL,4,3.57,-0.119656124,,,,
17,4/19/1995,1995,APRIL,4,0.93,-0.70835709,,,,
18,4/19/1995,1995,APRIL,4,0.93,-0.70835709,-0.512123435,-1.069555389,1.81,
1,5/16/1995,1995,MAY,5,6.63,0.562701814,,,,
17,5/16/1995,1995,MAY,5,1.05,-0.681597955,,,,
18,5/16/1995,1995,MAY,5,1.19,-0.650378964,-0.256425035,-1.325980424,2.956666667,
1,6/15/1995,1995,JUNE,6,6.80,0.600610588,,,,
17,6/15/1995,1995,JUNE,6,0.08,-0.897900962,,,,
18,6/15/1995,1995,JUNE,6,0.17,-0.87783161,-0.391707328,-1.717687752,2.35,
1,7/5/1995,1995,JULY,7,1.43,-0.596860695,,,,
17,7/5/1995,1995,JULY,7,0.93,-0.70835709,,,,
18,7/5/1995,1995,JULY,7,0.56,-0.790864422,-0.698694069,-2.416381821,0.973333333,
1,8/23/1995,1995,AUGUST,8,1.33,-0.619159974,,,,
17,8/23/1995,1995,AUGUST,8,1.50,-0.581251199,,,,
18,8/23/1995,1995,AUGUST,8,0.76,-0.746265864,-0.648892346,-3.065274167,1.196666667,
1,9/20/1995,1995,SEPTEMBER,9,12.80,1.938567329,,,,
17,9/20/1995,1995,SEPTEMBER,9,0.37,-0.833233052,,,,
18,9/20/1995,1995,SEPTEMBER,9,0.25,-0.859992187,0.081780697,-2.98349347,4.473333333,
1,10/13/1995,1995,OCTOBER,10,7.89,0.84367273,,,,
17,10/13/1995,1995,OCTOBER,10,1.22,-0.643689181,,,,
18,10/13/1995,1995,OCTOBER,10,0.65,-0.770795071,-0.190270507,-3.173763978,3.253333333,
1,12/7/1995,1995,DECEMBER,12,7.69,0.799074172,,,,
17,12/7/1995,1995,DECEMBER,12,1.36,-0.61247019,,,,
18,12/7/1995,1995,DECEMBER,12,2.61,-0.333729202,-0.04904174,-3.222805718,3.886666667,2.792727273
1,1/22/1996,1996,JANUARY,1,1.80,-0.514353362,,,,
17,1/22/1996,1996,JANUARY,1,0.39,-0.828773197,,,,
18,1/22/1996,1996,JANUARY,1,0.61,-0.779714783,-0.707613781,-3.930419498,0.933333333,
1,2/14/1996,1996,FEBRUARY,2,2.52,-0.353798553,,,,
17,2/14/1996,1996,FEBRUARY,2,0.78,-0.741806008,,,,
18,2/14/1996,1996,FEBRUARY,2,1.74,-0.52773293,-0.541112497,-4.471531996,1.68,
1,3/18/1996,1996,MARCH,3,3.32,-0.175404321,,,,
17,3/18/1996,1996,MARCH,3,1.37,-0.610240262,,,,
18,3/18/1996,1996,MARCH,3,1.83,-0.507663579,-0.431102721,-4.902634716,2.173333333,
1,4/22/1996,1996,APRIL,4,0.51,-0.802014062,,,,
17,4/22/1996,1996,APRIL,4,0.34,-0.839922836,,,,
18,4/22/1996,1996,APRIL,4,0.33,-0.842152764,-0.828029887,-5.730664604,0.393333333,
1,5/8/1996,1996,MAY,5,6.73,0.585001093,,,,
17,5/8/1996,1996,MAY,5,0.50,-0.80424399,,,,
18,5/8/1996,1996,MAY,5,0.97,-0.699437378,-0.306226758,-6.036891362,2.733333333,
1,6/20/1996,1996,JUNE,6,1.95,-0.480904444,,,,
17,6/20/1996,1996,JUNE,6,0.81,-0.735116225,,,,
18,6/20/1996,1996,JUNE,6,0.09,-0.895671034,-0.703897234,-6.740788596,0.95,
1,7/22/1996,1996,JULY,7,1.17,-0.65483882,,,,
17,7/22/1996,1996,JULY,7,0.73,-0.752955648,,,,
18,7/22/1996,1996,JULY,7,1.28,-0.630309613,-0.679368027,-7.420156623,1.06,
1,8/21/1996,1996,AUGUST,8,3.99,-0.025999152,,,,
17,8/21/1996,1996,AUGUST,8,2.68,-0.318119707,,,,
18,8/21/1996,1996,AUGUST,8,0.14,-0.884521394,-0.409546751,-7.829703374,2.27,
1,9/17/1996,1996,SEPTEMBER,9,7.30,0.712106984,,,,
17,9/17/1996,1996,SEPTEMBER,9,5.77,0.370928015,,,,
18,9/17/1996,1996,SEPTEMBER,9,0.47,-0.810933773,0.090700408,-7.739002966,4.513333333,
1,10/21/1996,1996,OCTOBER,10,5.16,0.234902413,,,,
17,10/21/1996,1996,OCTOBER,10,5.59,0.330789312,,,,
18,10/21/1996,1996,OCTOBER,10,3.18,-0.206623312,0.119689471,-7.619313495,4.643333333,
1,11/12/1996,1996,NOVEMBER,11,4.40,0.065427892,,,,
17,11/12/1996,1996,NOVEMBER,11,1.78,-0.518813218,,,,
