STA,DATE,YEAR,MONTH,MONTH#,CHL_A,Zscore CHL_A,meanZ,CUSUM,mean CHL_A,Annual mean
1,1/24/1995,1995,JANUARY,1,6.22,0.077808083,,,,
17,1/24/1995,1995,JANUARY,1,9.32,0.795795815,,,,
18,1/24/1995,1995,JANUARY,1,9.26,0.781899279,0.551834392,,8.266666667,
1,2/16/1995,1995,FEBRUARY,2,3.45,-0.563748698,,,,
17,2/16/1995,1995,FEBRUARY,2,5.54,-0.079686001,,,,
18,2/16/1995,1995,FEBRUARY,2,5.14,-0.172329579,-0.271921426,0.279912966,4.71,
1,3/22/1995,1995,MARCH,3,1.74,-0.959799996,,,,
17,3/22/1995,1995,MARCH,3,2.63,-0.753668034,,,,
18,3/22/1995,1995,MARCH,3,0.95,-1.142771063,-0.952079697,-0.672166731,1.773333333,
1,4/19/1995,1995,APRIL,4,11.51,1.303019407,,,,
17,4/19/1995,1995,APRIL,4,5.27,-0.142220416,,,,
18,4/19/1995,1995,APRIL,4,3.95,-0.447944225,0.237618255,-0.434548476,6.91,
1,5/16/1995,1995,MAY,5,3.69,-0.508162551,,,,
17,5/16/1995,1995,MAY,5,2.46,-0.793041554,,,,
18,5/16/1995,1995,MAY,5,2,-0.89958167,-0.733595258,-1.168143734,2.716666667,
1,6/15/1995,1995,JUNE,6,3,-0.667972724,,,,
17,6/15/1995,1995,JUNE,6,2.17,-0.860208149,,,,
18,6/15/1995,1995,JUNE,6,5.96,0.017589757,-0.503530372,-1.671674106,3.71,
1,7/5/1995,1995,JULY,7,16.17,2.382317096,,,,
17,7/5/1995,1995,JULY,7,3.82,-0.478053388,,,,
18,7/5/1995,1995,JULY,7,9.83,0.913916378,0.939393362,-0.732280744,9.94,
1,8/23/1995,1995,AUGUST,8,17.11,2.600029505,,,,
17,8/23/1995,1995,AUGUST,8,10.28,1.018140404,,,,
18,8/23/1995,1995,AUGUST,8,6.2,0.073175904,1.230448604,0.49816786,11.19666667,
1,9/20/1995,1995,SEPTEMBER,9,7.61,0.399744518,,,,
17,9/20/1995,1995,SEPTEMBER,9,7.44,0.360370997,,,,
18,9/20/1995,1995,SEPTEMBER,9,4.51,-0.318243215,0.147290766,0.645458627,6.52,
1,10/13/1995,1995,OCTOBER,10,8.51,0.608192569,,,,
17,10/13/1995,1995,OCTOBER,10,3.8,-0.482685567,,,,
18,10/13/1995,1995,OCTOBER,10,4.18,-0.394674167,-0.089722388,0.555736238,5.496666667,
1,12/7/1995,1995,DECEMBER,12,7.3,0.328177353,,,,
17,12/7/1995,1995,DECEMBER,12,8.34,0.568587439,,,,
18,12/7/1995,1995,DECEMBER,12,7.74,0.429853681,0.442206158,0.997942396,7.793333333,6.275757576
1,1/22/1996,1996,JANUARY,1,9.02,0.726313132,,,,
17,1/22/1996,1996,JANUARY,1,14.56,2.009889911,,,,
18,1/22/1996,1996,JANUARY,1,14.18,1.920257248,1.55215343,2.550095826,12.58566667,
1,2/14/1996,1996,FEBRUARY,2,5.87,-0.003486657,,,,
17,2/14/1996,1996,FEBRUARY,2,5.36,-0.122533656,,,,
18,2/14/1996,1996,FEBRUARY,2,4.51,-0.318011606,-0.14801064,2.402085187,5.245,
1,3/18/1996,1996,MARCH,3,3.38,-0.579034888,,,,
17,3/18/1996,1996,MARCH,3,1.89,-0.924827045,,,,
18,3/18/1996,1996,MARCH,3,4.94,-0.217724932,-0.573862289,1.828222898,3.406333333,
1,4/22/1996,1996,APRIL,4,4.72,-0.269836945,,,,
17,4/22/1996,1996,APRIL,4,2.39,-0.809717399,,,,
18,4/22/1996,1996,APRIL,4,2.65,-0.750193899,-0.609916081,1.218306817,3.250666667,
1,5/8/1996,1996,MAY,5,3.74,-0.497508539,,,,
17,5/8/1996,1996,MAY,5,10.46,1.060524841,,,,
18,5/8/1996,1996,MAY,5,2.68,-0.742087586,-0.059690428,1.158616389,5.626333333,
1,6/20/1996,1996,JUNE,6,1.82,-0.941039671,,,,
17,6/20/1996,1996,JUNE,6,3.46,-0.561432608,,,,
18,6/20/1996,1996,JUNE,6,7.48,0.370330182,-0.377380699,0.781235689,4.254666667,
1,7/22/1996,1996,JULY,7,11.38,1.272215417,,,,
17,7/22/1996,1996,JULY,7,2.38,-0.812728315,,,,
18,7/22/1996,1996,JULY,7,9.5,0.837022208,0.43216977,1.21340546,7.75,
1,8/21/1996,1996,AUGUST,8,11.94,1.40353769,,,,
17,8/21/1996,1996,AUGUST,8,3.95,-0.447944225,,,,
18,8/21/1996,1996,AUGUST,8,7.68,0.414799099,0.456797521,1.670202981,7.856333333,
1,9/17/1996,1996,SEPTEMBER,9,2.93,-0.685111786,,,,
17,9/17/1996,1996,SEPTEMBER,9,2.75,-0.72587496,,,,
18,9/17/1996,1996,SEPTEMBER,9,10.28,1.017213968,-0.131257593,1.538945388,5.317333333,
1,10/21/1996,1996,OCTOBER,10,2.238,-0.84445874,,,,
17,10/21/1996,1996,OCTOBER,10,2.399,-0.8071697,,,,
18,10/21/1996,1996,OCTOBER,10,1.258,-1.071435508,-0.907687983,0.631257406,1.965,
1,11/12/1996,1996,NOVEMBER,11,5.12,-0.176973326,,,,
17,11/12/1996,1996,NOVEMBER,11,4.53,-0.313589083,,,,
18,11/12/1996,1996,NOVEMBER,11,5.43,-0.10507057,-0.198544327,0.432713079,5.026814616,
1,12/17/1996,1996,DECEMBER,12,3.166,-0.629525639,,,,
17,12/17/1996,1996,DECEMBER,12,1.874,-0.928764397,,,,
18,12/17/1996,1996,DECEMBER,12,2.345,-0.819676583,-0.79265554,-0.359942461,2.461666667,5.395484551
1,1/15/1997,1997,JANUARY,1,1.959,-0.909104061,,,,
17,1/15/1997,1997,JANUARY,1,3.322,-0.593470313,,,,
18,1/15/1997,1997,JANUARY,1,5.653,-0.053483883,-0.518686086,-0.878628546,3.644563349,
1,2/12/1997,1997,FEBRUARY,2,3.488,-0.554884337,,,,
17,2/12/1997,1997,FEBRUARY,2,5.837,-0.010996746,,,,
18,2/12/1997,1997,FEBRUARY,2,3.98,-0.440983791,-0.335621625,-1.214250171,4.434966587,
1,3/18/1997,1997,MARCH,3,2.792,-0.716093389,,,,
17,3/18/1997,1997,MARCH,3,4.107,-0.411596626,,,,
18,3/18/1997,1997,MARCH,3,2.404,-0.806019535,-0.64456985,-1.858820021,3.101044775,
1,4/21/1997,1997,APRIL,4,9.815,0.910374391,,,,
17,4/21/1997,1997,APRIL,4,3.157,-0.631609146,,,,
18,4/21/1997,1997,APRIL,4,3.161,-0.630699924,-0.11731156,-1.976131581,5.377547038,
1,5/21/1997,1997,MAY,5,3.187,-0.624547609,,,,
17,5/21/1997,1997,MAY,5,1.951,-0.910890602,,,,
