STA,DATE,YEAR,MONTH,MONTH#,NO3_NO2,ZscoreNO3_NO2,meanZ,CUSUM,mean NO3_NO2,wetdryave,,,
1,1/24/1995,1995,JANUARY,1,2.34,0.642707283,,,,,,,
17,1/24/1995,1995,JANUARY,1,2.48,0.722995983,,,,,,,
18,1/24/1995,1995,JANUARY,1,2.28,0.60829784,0.658000369,,2.366666667,,,,
1,2/16/1995,1995,FEBRUARY,2,0.81,-0.23473351,,,,,,,
17,2/16/1995,1995,FEBRUARY,2,0.56,-0.378106189,,,,,,,
18,2/16/1995,1995,FEBRUARY,2,0.35,-0.498539239,-0.370459646,0.287540723,0.573333333,,,,
1,3/22/1995,1995,MARCH,3,0.49,-0.418250539,,,,,,,
17,3/22/1995,1995,MARCH,3,0.31,-0.521478867,,,,,,,
18,3/22/1995,1995,MARCH,3,0.16,-0.607502474,-0.51574396,-0.228203237,0.32,,,,
1,4/19/1995,1995,APRIL,4,0.22,-0.573093031,,,,,,,
17,4/19/1995,1995,APRIL,4,0.12,-0.630442103,,,,,,,
18,4/19/1995,1995,APRIL,4,0.12,-0.630442103,-0.611325746,-0.839528983,0.153333333,,,,
1,5/16/1995,1995,MAY,5,0.47,-0.429720353,,,,,,,
17,5/16/1995,1995,MAY,5,0.20,-0.584562846,,,,,,,
18,5/16/1995,1995,MAY,5,0.53,-0.39531091,-0.469864703,-1.309393686,0.4,,,,
1,6/15/1995,1995,JUNE,6,0.70,-0.297817489,,,,,,,
17,6/15/1995,1995,JUNE,6,,,,,,,,,
18,6/15/1995,1995,JUNE,6,,,-0.297817489,-1.607211174,0.7,,,,
1,7/5/1995,1995,JULY,7,0.18,-0.59603266,,,,,,,
17,7/5/1995,1995,JULY,7,0.02,-0.687791174,,,,,,,
18,7/5/1995,1995,JULY,7,0.02,-0.690085137,-0.657969657,-2.265180831,0.072,,,,
1,8/23/1995,1995,AUGUST,8,0.25,-0.55588831,,,,,,,
17,8/23/1995,1995,AUGUST,8,0.11,-0.63617701,,,,,,,
18,8/23/1995,1995,AUGUST,8,0.02,-0.690085137,-0.627383486,-2.892564317,0.125333333,,,,
1,9/20/1995,1995,SEPTEMBER,9,1.55,0.189649619,,,,,,,
17,9/20/1995,1995,SEPTEMBER,9,0.25,-0.55588831,,,,,,,
18,9/20/1995,1995,SEPTEMBER,9,0.02,-0.690658628,-0.352299106,-3.244863424,0.605,,,,
1,10/13/1995,1995,OCTOBER,10,0.80,-0.240468417,,,,,,,
17,10/13/1995,1995,OCTOBER,10,0.07,-0.659116639,,,,,,,
18,10/13/1995,1995,OCTOBER,10,0.02,-0.690085137,-0.529890064,-3.774753488,0.295333333,,,,
1,12/7/1995,1995,DECEMBER,12,6.89,3.252090033,,,,,,,
17,12/7/1995,1995,DECEMBER,12,5.93,2.701538948,,,,,,,
18,12/7/1995,1995,DECEMBER,12,7.78,3.762496769,3.238708583,-0.536044905,6.866666667,1.134333333,,,
1,1/22/1996,1996,JANUARY,1,2.25,0.591093119,,,,,,,
17,1/22/1996,1996,JANUARY,1,3.57,1.348100862,,,,,,,
18,1/22/1996,1996,JANUARY,1,2.89,0.958127176,0.965773719,0.429728814,2.903333333,,,,
1,2/14/1996,1996,FEBRUARY,2,0.42,-0.458394889,,,,,,,
17,2/14/1996,1996,FEBRUARY,2,0.05,-0.670586453,,,,,,,
18,2/14/1996,1996,FEBRUARY,2,1.42,0.115095826,-0.337961839,0.091766976,0.63,,,,
1,3/18/1996,1996,MARCH,3,0.05,-0.670586453,,,,,,,
17,3/18/1996,1996,MARCH,3,0.02,-0.690085137,,,,,,,
18,3/18/1996,1996,MARCH,3,0.02,-0.690085137,-0.683585576,-0.5918186,0.027333333,,,,
1,4/22/1996,1996,APRIL,4,0.02,-0.690085137,,,,,,,
17,4/22/1996,1996,APRIL,4,0.02,-0.690085137,,,,,,,
18,4/22/1996,1996,APRIL,4,0.02,-0.690085137,-0.690085137,-1.281903737,0.016,,,,
1,5/8/1996,1996,MAY,5,0.62,-0.343696746,,,,,,,
17,5/8/1996,1996,MAY,5,0.01,-0.693526082,,,,,,,
18,5/8/1996,1996,MAY,5,0.46,-0.43545526,-0.490892696,-1.772796433,0.363333333,,,,
1,6/20/1996,1996,JUNE,6,0.14,-0.618972289,,,,,,,
17,6/20/1996,1996,JUNE,6,0.11,-0.63617701,,,,,,,
18,6/20/1996,1996,JUNE,6,0.11,-0.63617701,-0.630442103,-2.403238536,0.12,,,,
1,7/22/1996,1996,JULY,7,0.20,-0.584562846,,,,,,,
17,7/22/1996,1996,JULY,7,0.02,-0.690085137,,,,,,,
18,7/22/1996,1996,JULY,7,0.01,-0.693526082,-0.656058021,-3.059296558,0.075333333,,,,
1,8/21/1996,1996,AUGUST,8,0.33,-0.510009053,,,,,,,
17,8/21/1996,1996,AUGUST,8,0.09,-0.647646824,,,,,,,
18,8/21/1996,1996,AUGUST,8,0.02,-0.690085137,-0.615913671,-3.675210229,0.145333333,,,,
1,9/17/1996,1996,SEPTEMBER,9,2.21,0.56815349,,,,,,,
17,9/17/1996,1996,SEPTEMBER,9,1.05,-0.097095739,,,,,,,
18,9/17/1996,1996,SEPTEMBER,9,0.02,-0.690085137,-0.073009129,-3.748219358,1.092,,,,
1,10/21/1996,1996,OCTOBER,10,1.45,0.132300547,,,,,,,
17,10/21/1996,1996,OCTOBER,10,2.28,0.60829784,,,,,,,
18,10/21/1996,1996,OCTOBER,10,0.25,-0.55588831,0.061570026,-3.686649332,1.326666667,,,,
1,11/12/1996,1996,NOVEMBER,11,1.62,0.229793969,,,,,,,
17,11/12/1996,1996,NOVEMBER,11,0.90,-0.183119346,,,,,,,
18,11/12/1996,1996,NOVEMBER,11,1.08,-0.079891017,-0.011072131,-3.697721463,1.2,,,,
1,12/17/1996,1996,DECEMBER,12,13.60,7.100212727,,,,,,,
17,12/17/1996,1996,DECEMBER,12,12.30,6.354674798,,,,,,,
18,12/17/1996,1996,DECEMBER,12,12.10,6.239976655,6.564954727,2.867233264,12.66666667,,,,
1,1/15/1997,1997,JANUARY,1,5.41,2.403323776,,,,,,,
17,1/15/1997,1997,JANUARY,1,3.30,1.193258369,,,,,,,
18,1/15/1997,1997,JANUARY,1,6.26,2.890790883,2.162457676,5.02969094,4.99,,,,
1,2/12/1997,1997,FEBRUARY,2,7.51,3.607654276,,,,,,,
17,2/12/1997,1997,FEBRUARY,2,6.91,3.263559848,,,,,,,
18,2/12/1997,1997,FEBRUARY,2,7.61,3.665003348,3.512072491,8.541763431,7.343333333,,,,
1,3/18/1997,1997,MARCH,3,0.01,-0.696393535,,,,,,,
17,3/18/1997,1997,MARCH,3,0.01,-0.696393535,,,,,,,
18,3/18/1997,1997,MARCH,3,0.01,-0.696393535,-0.696393535,7.845369895,0.005,,,,
1,4/21/1997,1997,APRIL,4,0.40,-0.469864703,,,,,,,
17,4/21/1997,1997,APRIL,4,0.02,-0.687791174,,,,,,,
18,4/21/1997,1997,APRIL,4,0.02,-0.687791174,-0.615149017,7.230220878,0.146666667,2.348098039,,,
1,5/21/1997,1997,MAY,5,0.17,-0.601767567,,,,,,,
17,5/21/1997,1997,MAY,5,0.01,-0.693526082,,,,,,,
18,5/21/1997,1997,MAY,5,0.28,-0.538683589,-0.611325746,6.618895133,0.153333333,,,,
1,6/11/1997,1997,JUNE,6,0.01,-0.696393535,,,,,,,
17,6/11/1997,1997,JUNE,6,0.01,-0.696393535,,,,,,,
18,6/11/1997,1997,JUNE,6,0.01,-0.696393535,-0.696393535,5.922501597,0.005,,,,
1,7/17/1997,1997,JULY,7,0.01,-0.696393535,,,,,,,
17,7/17/1997,1997,JULY,7,0.01,-0.696393535,,,,,,,
18,7/17/1997,1997,JULY,7,0.01,-0.696393535,-0.696393535,5.226108062,0.005,,,,
18,8/22/1997,1997,AUGUST,8,0.01,-0.696393535,,,,,,,
1,8/25/1997,1997,AUGUST,8,0.01,-0.696393535,,,,,,,
17,8/25/1997,1997,AUGUST,8,0.01,-0.696393535,-0.696393535,4.529714527,0.005,,,,
1,9/25/1997,1997,SEPTEMBER,9,1.15,-0.039746667,,,,,,,
17,9/25/1997,1997,SEPTEMBER,9,0.21,-0.578827939,,,,,,,
18,9/25/1997,1997,SEPTEMBER,9,0.30,-0.527213774,-0.38192946,4.147785067,0.553333333,,,,
1,10/7/1997,1997,OCTOBER,10,0.68 ,-0.309287303,,,,,,,
17,10/7/1997,1997,OCTOBER,10,0.03 ,-0.682056267,,,,,,,
18,10/7/1997,1997,OCTOBER,10,0.03 ,-0.682056267,-0.557799946,3.589985121,0.246666667,0.159285714,,,
1,11/21/1997,1997,NOVEMBER,11,3.72 ,1.434124469,,,,,,,
17,11/21/1997,1997,NOVEMBER,11,2.17 ,0.545213862,,,,,,,
18,11/21/1997,1997,NOVEMBER,11,1.52 ,0.172444897,0.717261076,4.307246197,2.47,,,,
1,12/16/1997,1997,DECEMBER,12,0.61 ,-0.349431653,,,,,,,
17,12/16/1997,1997,DECEMBER,12,1.57 ,0.201119433,,,,,,,
18,12/16/1997,1997,DECEMBER,12,1.79 ,0.32728739,0.05965839,4.366904587,1.323333333,,,,
1,1/20/1998,1998,JANUARY,1,0.94 ,-0.160179717,,,,,,,
17,1/20/1998,1998,JANUARY,1,1.15 ,-0.039746667,,,,,,,
18,1/20/1998,1998,JANUARY,1,0.97 ,-0.142974996,-0.11430046,4.252604127,1.02,,,,
1,2/9/1998,1998,FEBRUARY,2,8.93,4.422011091,,,,,,,
17,2/9/1998,1998,FEBRUARY,2,11.5,5.895882227,,,,,,,
18,2/9/1998,1998,FEBRUARY,2,9.43,4.708756448,5.008883255,9.261487383,9.953333333,,,,
1,3/10/1998,1998,MARCH,3,0.07,-0.659116639,,,,,,,
17,3/10/1998,1998,MARCH,3,0.01 ,-0.695820044,,,,,,,
18,3/10/1998,1998,MARCH,3,0.01 ,-0.695820044,-0.683585576,8.577901807,0.027333333,,,,
1,4/13/1998,1998,APRIL,4,0.1,-0.641911917,,,,,,,
17,4/13/1998,1998,APRIL,4,0.02,-0.687791174,,,,,,,
18,4/13/1998,1998,APRIL,4,0.02,-0.687791174,-0.672498089,7.905403718,0.046666667,,,,
1,5/22/1998,1998,MAY,5,0.53,-0.39531091,,,,,,,
17,5/22/1998,1998,MAY,5,0.01 ,-0.695820044,,,,,,,
18,5/22/1998,1998,MAY,5,0.3,-0.527213774,-0.539448243,7.365955475,0.278666667,,,,
1,6/18/1998,1998,JUNE,6,0.04,-0.67632136,,,,,,,
17,6/18/1998,1998,JUNE,6,0.01 ,-0.695820044,,,,,,,
18,6/19/1998,1998,JUNE,6,0.02,-0.687791174,-0.686644193,6.679311282,0.022,,,,
1,7/9/1998,1998,JULY,7,0.33,-0.510009053,,,,,,,
17,7/9/1998,1998,JULY,7,0.15,-0.613237381,,,,,,,
18,7/9/1998,1998,JULY,7,0.23,-0.567358124,-0.563534853,6.11577643,0.236666667,,,,
1,8/13/1998,1998,AUGUST,8,0.24,-0.561623217,,,,,,,
