STA,DATE,YEAR,MONTH,MONTH#,NH4,ZscoreNH4,meanZ,CUSUM,mean NH4,,
2,1/24/1995,1995,JANUARY,1,0.74,-0.519596827,,,,,
16,1/24/1995,1995,JANUARY,1,1.33,-0.399369746,-0.459483286,,1.04,,
2,2/16/1995,1995,FEBRUARY,2,1.22,-0.421784965,,,,,
16,2/16/1995,1995,FEBRUARY,2,1.63,-0.338237333,-0.380011149,-0.839494435,1.43,,
2,3/22/1995,1995,MARCH,3,1.14,-0.438086942,,,,,
16,3/22/1995,1995,MARCH,3,0.90,-0.486992873,-0.462539907,-1.302034342,1.02,,
2,4/19/1995,1995,APRIL,4,1.17,-0.4319737,,,,,
16,4/25/1995,1995,APRIL,4,1.28,-0.409558482,-0.420766091,-1.722800433,1.23,,
2,5/16/1995,1995,MAY,5,0.28,-0.613333194,,,,,
16,5/16/1995,1995,MAY,5,0.74,-0.519596827,-0.56646501,-2.289265444,0.51,,
2,6/15/1995,1995,JUNE,6,0.01,-0.668352366,,,,,
16,6/15/1995,1995,JUNE,6,0.01,-0.668352366,-0.668352366,-2.95761781,0.01,,
2,7/5/1995,1995,JULY,7,0.55,-0.558314022,,,,,
16,7/5/1995,1995,JULY,7,0.75,-0.517559079,-0.537936551,-3.495554361,0.65,,
2,8/23/1995,1995,AUGUST,8,0.30,-0.6092577,,,,,
16,8/23/1995,1995,AUGUST,8,1.13,-0.440124689,-0.524691194,-4.020245555,0.72,,
2,9/20/1995,1995,SEPTEMBER,9,0.21,-0.627597424,,,,,
16,9/20/1995,1995,SEPTEMBER,9,7.37,0.831429515,0.101916045,-3.91832951,3.79,,
2,10/13/1995,1995,OCTOBER,10,0.58,-0.55220078,,,,,
16,10/13/1995,1995,OCTOBER,10,1.01,-0.464577654,-0.508389217,-4.426718727,0.80,,
16,12/6/1995,1995,DECEMBER,12,1.37,-0.391218758,,,,,
2,12/7/1995,1995,DECEMBER,12,0.47,-0.574615999,-0.482917378,-4.909636105,0.92,,
2,1/22/1996,1996,JANUARY,1,0.68,-0.531823309,,,,,
16,1/22/1996,1996,JANUARY,1,0.35,-0.599068964,-0.565446137,-5.475082242,0.52,,
2,2/14/1996,1996,FEBRUARY,2,2.12,-0.238387724,,,,,
16,2/14/1996,1996,FEBRUARY,2,0.77,-0.513483585,-0.375935654,-5.851017897,1.45,,
2,3/18/1996,1996,MARCH,3,0.56,-0.556276275,,,,,
16,3/18/1996,1996,MARCH,3,0.99,-0.468653148,-0.512464712,-6.363482608,0.78,,
2,4/22/1996,1996,APRIL,4,0.00,-0.670390113,,,,,
16,4/22/1996,1996,APRIL,4,0.00,-0.670390113,-0.670390113,-7.033872722,0.00,,
2,5/8/1996,1996,MAY,5,0.52,-0.564427263,,,,,
16,5/8/1996,1996,MAY,5,0.81,-0.505332597,-0.53487993,-7.568752652,0.67,,
2,6/20/1996,1996,JUNE,6,0.94,-0.478841884,,,,,
16,6/20/1996,1996,JUNE,6,1.05,-0.456426666,-0.467634275,-8.036386927,1.00,,
2,7/22/1996,1996,JULY,7,0.80,-0.507370344,,,,,
16,7/22/1996,1996,JULY,7,2.21,-0.220048,-0.363709172,-8.400096098,1.51,,
2,8/21/1996,1996,AUGUST,8,1.29,-0.407520735,,,,,
16,8/21/1996,1996,AUGUST,8,1.19,-0.427898206,-0.41770947,-8.817805569,1.24,,
2,9/17/1996,1996,SEPTEMBER,9,0.62,-0.544049792,,,,,
16,9/19/1996,1996,SEPTEMBER,9,0.46,-0.576653746,-0.560351769,-9.378157338,0.54,,
2,10/21/1996,1996,OCTOBER,10,1.11,-0.444200183,,,,,
16,10/23/1996,1996,OCTOBER,10,3.07,-0.044801747,-0.244500965,-9.622658303,2.09,,
2,11/12/1996,1996,NOVEMBER,11,1.75,-0.313784367,,,,,
16,11/12/1996,1996,NOVEMBER,11,1.46,-0.372879034,-0.343331701,-9.965990004,1.61,,
2,12/16/1996,1996,DECEMBER,12,2.26,-0.209859264,,,,,
16,12/16/1996,1996,DECEMBER,12,1.97,-0.268953931,-0.239406597,-10.2053966,2.12,,
2,1/15/1997,1997,JANUARY,1,1.33,-0.399369746,,,,,
16,1/15/1997,1997,JANUARY,1,3.90,0.124331264,-0.137519241,-10.34291584,2.62,,
2,2/12/1997,1997,FEBRUARY,2,1.08,-0.450313424,,,,,
16,2/12/1997,1997,FEBRUARY,2,7.61,0.880335446,0.215011011,-10.12790483,4.35,,
16,3/17/1997,1997,MARCH,3,0.24,-0.621484183,,,,,
2,3/18/1997,1997,MARCH,3,2.23,-0.215972505,-0.418728344,-10.54663318,1.24,,
2,4/21/1997,1997,APRIL,4,0.39,-0.590917976,,,,,
16,4/21/1997,1997,APRIL,4,0.82,-0.50329485,-0.547106413,-11.09373959,0.61,,
2,5/21/1997,1997,MAY,5,0.05,-0.661220251,,,,,
16,5/21/1997,1997,MAY,5,0.46,-0.576653746,-0.618936999,-11.71267659,0.25,,
2,6/11/1997,1997,JUNE,6,0.31,-0.607219953,,,,,
16,6/11/1997,1997,JUNE,6,1.51,-0.362690298,-0.484955125,-12.19763171,0.91,,
2,7/17/1997,1997,JULY,7,0.30,-0.6092577,,,,,
16,7/17/1997,1997,JULY,7,1.37,-0.391218758,-0.500238229,-12.69786994,0.84,,
2,8/20/1997,1997,AUGUST,8,0.12,-0.645937148,,,,,
16,8/26/1997,1997,AUGUST,8,0.13,-0.643899401,-0.644918274,-13.34278822,0.13,,
2,9/25/1997,1997,SEPTEMBER,9,0.62,-0.544049792,,,,,
16,9/25/1997,1997,SEPTEMBER,9,0.58,-0.55220078,-0.548125286,-13.8909135,0.60,,
2,10/7/1997,1997,OCTOBER,10,0.65 ,-0.537936551,,,,,
16,10/7/1997,1997,OCTOBER,10,10.4 ,1.448866892,0.455465171,-13.43544833,5.53,,
2,11/21/1997,1997,NOVEMBER,11,0.72 ,-0.523672321,,,,,
16,11/21/1997,1997,NOVEMBER,11,0.23 ,-0.62352193,-0.573597125,-14.00904546,0.48,,
2,12/16/1997,1997,DECEMBER,12,0.28 ,-0.613333194,,,,,
16,12/16/1997,1997,DECEMBER,12,0.39 ,-0.590917976,-0.602125585,-14.61117104,0.34,,
2,1/20/1998,1998,JANUARY,1,0.10 ,-0.649503205,,,,,
16,1/20/1998,1998,JANUARY,1,2.16 ,-0.230236735,-0.43986997,-15.05104101,1.13,,
2,2/9/1998,1998,FEBRUARY,2,1.93,-0.277104919,,,,,
16,2/9/1998,1998,FEBRUARY,2,1.52,-0.360652551,-0.318878735,-15.36991975,1.73,,
2,3/10/1998,1998,MARCH,3,2.44,-0.173179816,,,,,
16,3/13/1998,1998,MARCH,3,0.68,-0.531823309,-0.352501563,-15.72242131,1.56,,
