STA,DATE,YEAR,MONTH,MONTH#,CHL_A,Zscore CHL,meanZ,CUSUM,mean CHL,3 month running ave,12 month ave,,,
2,1/24/1995,1995,JANUARY,1,3.00,-0.58668789,,,,,,,,
16,1/24/1995,1995,JANUARY,1,4.96,-0.191157419,-0.388922655,,3.98,,,,,
2,2/16/1995,1995,FEBRUARY,2,2.75,-0.637138206,,,,,,,,
16,2/16/1995,1995,FEBRUARY,2,2.30,-0.727948773,-0.682543489,-1.071466144,2.53,,,,,
2,3/22/1995,1995,MARCH,3,0.73,-1.044776753,,,,,,,,
16,3/22/1995,1995,MARCH,3,1.05,-0.98020035,-1.012488551,-2.083954695,0.89,2.47,,,,
2,4/19/1995,1995,APRIL,4,2.80,-0.627048143,,,,,,,,
16,4/25/1995,1995,APRIL,4,3.09,-0.568525777,-0.59778696,-2.681741655,2.95,2.12,,,,
2,5/16/1995,1995,MAY,5,1.79,-0.830867416,,,,,,,,
16,5/16/1995,1995,MAY,5,4.98,-0.187121393,-0.508994405,-3.19073606,3.39,2.41,,,,
2,6/15/1995,1995,JUNE,6,9.33,0.690714093,,,,,,,,
16,6/15/1995,1995,JUNE,6,18.61,2.563429796,1.627071944,-1.563664116,13.97,6.77,,,,
2,7/5/1995,1995,JULY,7,15.87,2.01049434,,,,,,,,
16,7/5/1995,1995,JULY,7,14.41,1.715864499,1.86317942,0.299515304,15.14,10.83,,,,
2,8/23/1995,1995,AUGUST,8,8.77,0.577705386,,,,,,,,
16,8/23/1995,1995,AUGUST,8,7.08,0.236661255,0.407183321,0.706698625,7.93,12.35,,,,
2,9/20/1995,1995,SEPTEMBER,9,7.25,0.270967469,,,,,,,,
16,9/20/1995,1995,SEPTEMBER,9,5.75,-0.031734422,0.119616524,0.826315148,6.50,9.86,,,,
2,10/13/1995,1995,OCTOBER,10,3.08,-0.57054379,,,,,,,,
16,10/13/1995,1995,OCTOBER,10,2.82,-0.623012117,-0.596777953,0.229537195,2.95,5.79,,,,
16,12/6/1995,1995,DECEMBER,12,5.38,-0.105593684,,,,,,,,
2,12/7/1995,1995,DECEMBER,12,5.38,-0.105795485,-0.105694584,0.12384261,5.38,4.94,5.96,,,
2,1/22/1996,1996,JANUARY,1,11.45,1.118936369,,,,,,,,
16,1/22/1996,1996,JANUARY,1,10.44,0.915520697,1.017228533,1.141071143,10.95,6.43,,,,
2,2/14/1996,1996,FEBRUARY,2,6.35,0.089951738,,,,,,,,
16,2/14/1996,1996,FEBRUARY,2,5.57,-0.067655047,0.011148346,1.152219489,5.96,7.43,,,,
2,3/18/1996,1996,MARCH,3,6.21,0.060085152,,,,,,,,
16,3/18/1996,1996,MARCH,3,2.81,-0.625635534,-0.282775191,0.869444298,4.51,7.14,,,,
2,4/22/1996,1996,APRIL,4,3.46,-0.494262913,,,,,,,,
16,4/22/1996,1996,APRIL,4,3.36,-0.513635834,-0.503949373,0.365494925,3.41,4.63,,,,
