9,1/25/1995,1995,JANUARY,1,0.16,-0.84871893,,,,,,,,,,,,,,,
10,1/25/1995,1995,JANUARY,1,0.08,-1.005596064,-0.927157497,,0.12,,,,,,,,,,,,
9,2/15/1995,1995,FEBRUARY,2,0.05,-1.064424989,,,,,,,,,,,,,,,
10,2/15/1995,1995,FEBRUARY,2,0.16,-0.84871893,-0.95657196,-1.883729457,0.105,,,,,,,,,,,,
9,3/23/1995,1995,MARCH,3,0.14,-0.887938214,,,,,,,,,,,,,,,
10,3/23/1995,1995,MARCH,3,0.16,-0.84871893,-0.868328572,-2.752058029,0.15,,,,,,,,,,,,
9,4/25/1995,1995,APRIL,4,0.19,-0.789890005,,,,,,,,,,,,,,,
10,4/25/1995,1995,APRIL,4,0.16,-0.84871893,-0.819304468,-3.571362496,0.175,,,,,,,,,,,,
9,5/20/1995,1995,MAY,5,0.14,-0.887938214,,,,,,,,,,,,,,,
10,5/20/1995,1995,MAY,5,0.16,-0.84871893,-0.868328572,-4.439691068,0.15,,,,,,,,,,,,
9,6/14/1995,1995,JUNE,6,0.32,-0.534964662,,,,,,,,,,,,,,,
10,6/14/1995,1995,JUNE,6,0.24,-0.691841796,-0.613403229,-5.053094297,0.28,,,,,,,,,,,,
9,7/6/1995,1995,JULY,7,0.33,-0.515355021,,,,,,,,,,,,,,,
10,7/6/1995,1995,JULY,7,0.10,-0.966376781,-0.740865901,-5.793960198,0.215,,,,,,,,,,,,
9,8/22/1995,1995,AUGUST,8,0.70,0.210201724,,,,,,,,,,,,,,,
10,8/22/1995,1995,AUGUST,8,0.57,-0.044723619,0.082739052,-5.711221146,0.635,,,,,,,,,,,,
9,9/21/1995,1995,SEPTEMBER,9,0.82,0.445517424,,,,,,,,,,,,,,,
10,9/21/1995,1995,SEPTEMBER,9,0.53,-0.123162186,0.161177619,-5.550043526,0.675,,,,,,,,,,,,
9,10/12/1995,1995,OCTOBER,10,0.40,-0.378087528,,,,,,,,,,,,,,,
10,10/12/1995,1995,OCTOBER,10,0.38,-0.417306812,-0.39769717,-5.947740697,0.39,,,,,,,,,,,,
9,12/8/1995,1995,DECEMBER,12,0.09,-0.985986422,,,,,,,,,,,,,,,
10,12/8/1995,1995,DECEMBER,12,0.10,-0.966376781,-0.976181601,-6.923922298,0.095,0.271818182,,,,,,,,,,,
9,1/23/1996,1996,JANUARY,1,0.19,-0.789890005,0.19,-6.73,0.19,,,,,,,,,,,,
9,2/12/1996,1996,FEBRUARY,2,0.12,-0.927157497,,,,,,,,,,,,,,,
10,2/12/1996,1996,FEBRUARY,2,0.30,-0.574183946,-0.750670721,-7.48,0.21,,,,,,,,,,,,
9,3/19/1996,1996,MARCH,3,0.09,-0.985986422,,,,,,,,,,,,,,,
10,3/19/1996,1996,MARCH,3,0.06,-1.044815347,-1.015400885,-8.50,0.075,,,,,,,,,,,,
9,4/18/1996,1996,APRIL,4,0.12,-0.927157497,,,,,,,,,,,,,,,
10,4/18/1996,1996,APRIL,4,0.10,-0.966376781,-0.946767139,-9.45,0.11,,,,,,,,,,,,
9,5/7/1996,1996,MAY,5,0.23,-0.711451438,,,,,,,,,,,,,,,
10,5/7/1996,1996,MAY,5,0.14,-0.887938214,-0.799694826,-10.25,0.185,,,,,,,,,,,,
9,6/17/1996,1996,JUNE,6,0.39,-0.39769717,,,,,,,,,,,,,,,
10,6/17/1996,1996,JUNE,6,0.44,-0.299648962,-0.348673066,-10.60,0.415,,,,,,,,,,,,
9,7/23/1996,1996,JULY,7,0.63,0.072934231,,,,,,,,,,,,,,,
10,7/23/1996,1996,JULY,7,0.43,-0.319258603,-0.123162186,-10.72,0.53,,,,,,,,,,,,
9,8/22/1996,1996,AUGUST,8,1.14,1.07302596,,,,,,,,,,,,,,,
10,8/22/1996,1996,AUGUST,8,0.32,-0.534964662,0.269030649,-10.45,0.73,,,,,,,,,,,,
