STA,DATE,YEAR,MONTH,MONTH#,PO4,Zscore PO4,meanZ,CUSUM,mean PO4,wetdryave
1,1/24/1995,1995,JANUARY,1,0.37,-0.295207613,,,,
17,1/24/1995,1995,JANUARY,1,0.28,-0.513474494,,,,
18,1/24/1995,1995,JANUARY,1,0.29,-0.489222619,-1.297904726,,0.94,
1,2/16/1995,1995,FEBRUARY,2,0.35,-0.343711365,,,,
17,2/16/1995,1995,FEBRUARY,2,0.17,-0.780245127,,,,
18,2/16/1995,1995,FEBRUARY,2,0.12,-0.901504505,-2.025460996,-3.323365723,0.64,
1,3/22/1995,1995,MARCH,3,0.44,-0.125444483,,,,
17,3/22/1995,1995,MARCH,3,0.15,-0.828748878,,,,
18,3/22/1995,1995,MARCH,3,0.1,-0.950008256,-1.904201618,-5.227567341,0.69,
1,4/19/1995,1995,APRIL,4,0.24,-0.610481997,,,,
17,4/19/1995,1995,APRIL,4,0.04,-1.095519511,,,,
18,4/19/1995,1995,APRIL,4,0.08,-0.998512008,-2.704513515,-7.932080856,0.36,
1,5/16/1995,1995,MAY,5,0.62,0.311089279,,,,
17,5/16/1995,1995,MAY,5,0.2,-0.7074895,,,,
18,5/16/1995,1995,MAY,5,0.21,-0.683237624,-1.079637845,-9.011718701,1.03,
1,6/15/1995,1995,JUNE,6,0.59,0.238333652,,,,
17,6/15/1995,1995,JUNE,6,0.37,-0.295207613,,,,
18,6/15/1995,1995,JUNE,6,0.35,-0.343711365,-0.400585326,-9.412304027,1.31,
1,7/5/1995,1995,JULY,7,0.43,-0.149696359,,,,
17,7/5/1995,1995,JULY,7,0.39,-0.246703862,,,,
18,7/5/1995,1995,JULY,7,0.36,-0.319459489,-0.71585971,-10.12816374,1.18,
1,8/23/1995,1995,AUGUST,8,0.4,-0.222451986,,,,
17,8/23/1995,1995,AUGUST,8,0.43,-0.149696359,,,,
18,8/23/1995,1995,AUGUST,8,0.33,-0.392215116,-0.764363461,-10.8925272,1.16,
1,9/20/1995,1995,SEPTEMBER,9,1.03,1.310266557,,,,
17,9/20/1995,1995,SEPTEMBER,9,0.82,0.796126792,,,,
18,9/20/1995,1995,SEPTEMBER,9,0.89,0.965889922,3.072283271,-7.820243928,2.74,
1,10/13/1995,1995,OCTOBER,10,0.72,0.553608035,,,,
17,10/13/1995,1995,OCTOBER,10,0.68,0.456600533,,,,
18,10/13/1995,1995,OCTOBER,10,0.62,0.311089279,1.321297847,-6.498946081,2.02,
1,12/7/1995,1995,DECEMBER,12,0.65,0.383844906,,,,
17,12/7/1995,1995,DECEMBER,12,0.53,0.092822398,,,,
18,12/7/1995,1995,DECEMBER,12,0.71,0.52935616,1.006023463,-5.492922618,1.89,1.269272727
1,1/22/1996,1996,JANUARY,1,0.21,-0.683237624,,,,
17,1/22/1996,1996,JANUARY,1,0.29,-0.489222619,,,,
18,1/22/1996,1996,JANUARY,1,0.3,-0.464970743,-1.637430986,-7.130353603,0.8,
1,2/14/1996,1996,FEBRUARY,2,0.07,-1.022763884,,,,
17,2/14/1996,1996,FEBRUARY,2,0.08,-0.998512008,,,,
18,2/14/1996,1996,FEBRUARY,2,0.18,-0.755993251,-2.777269142,-9.907622746,0.33,
1,3/18/1996,1996,MARCH,3,0.14,-0.853000754,,,,
17,3/18/1996,1996,MARCH,3,0.01,-1.168275138,,,,
18,3/18/1996,1996,MARCH,3,0.06,-1.047015759,-3.068291651,-12.9759144,0.21,
1,4/22/1996,1996,APRIL,4,0.26,-0.561978246,,,,
17,4/22/1996,1996,APRIL,4,0.16,-0.804497002,,,,
18,4/22/1996,1996,APRIL,4,0.1,-0.950008256,-2.316483505,-15.2923979,0.52,
1,5/8/1996,1996,MAY,5,0.41,-0.198200111,,,,
17,5/8/1996,1996,MAY,5,0.1,-0.950008256,,,,
18,5/8/1996,1996,MAY,5,0.13,-0.877252629,-2.025460996,-17.3178589,0.64,
1,6/20/1996,1996,JUNE,6,0.34,-0.36796324,,,,
17,6/20/1996,1996,JUNE,6,0.26,-0.561978246,,,,
18,6/20/1996,1996,JUNE,6,0.29,-0.489222619,-1.419164105,-18.737023,0.89,
1,7/22/1996,1996,JULY,7,0.14,-0.853000754,,,,
17,7/22/1996,1996,JULY,7,0.09,-0.974260132,,,,
18,7/22/1996,1996,JULY,7,0.12,-0.901504505,-2.728765391,-21.46578839,0.35,
1,8/21/1996,1996,AUGUST,8,0.25,-0.586230121,,,,
17,8/21/1996,1996,AUGUST,8,0.35,-0.343711365,,,,
18,8/21/1996,1996,AUGUST,8,0.5,0.020066771,-0.909874715,-22.37566311,1.1,
1,9/17/1996,1996,SEPTEMBER,9,1.11,1.499431187,,,,
17,9/17/1996,1996,SEPTEMBER,9,0.65,0.383844906,,,,
18,9/17/1996,1996,SEPTEMBER,9,0.21,-0.683237624,1.200038469,-21.17562464,1.97,
1,10/21/1996,1996,OCTOBER,10,0.4,-0.222451986,,,,
17,10/21/1996,1996,OCTOBER,10,0.43,-0.149696359,,,,
18,10/21/1996,1996,OCTOBER,10,0.25,-0.586230121,-0.958378467,-22.13400311,1.08,
1,11/12/1996,1996,NOVEMBER,11,0.72,0.553608035,,,,
17,11/12/1996,1996,NOVEMBER,11,0.52,0.068570522,,,,
18,11/12/1996,1996,NOVEMBER,11,0.65,0.383844906,1.006023463,-21.12797964,1.89,
1,12/17/1996,1996,DECEMBER,12,0.52,0.068570522,,,,
17,12/17/1996,1996,DECEMBER,12,0.67,0.432348657,,,,
18,12/17/1996,1996,DECEMBER,12,0.6,0.262585527,0.763504706,-20.36447494,1.79,
1,1/15/1997,1997,JANUARY,1,0.67,0.432348657,,,,
17,1/15/1997,1997,JANUARY,1,0.32,-0.416466992,,,,
18,1/15/1997,1997,JANUARY,1,0.45,-0.101192608,-0.085310942,-20.44978588,1.44,
1,2/12/1997,1997,FEBRUARY,2,0.44,-0.125444483,,,,
17,2/12/1997,1997,FEBRUARY,2,0.37,-0.295207613,,,,
18,2/12/1997,1997,FEBRUARY,2,0.39,-0.246703862,-0.667355959,-21.11714184,1.2,
1,3/18/1997,1997,MARCH,3,0.04,-1.095519511,,,,
17,3/18/1997,1997,MARCH,3,0.04,-1.095519511,,,,
18,3/18/1997,1997,MARCH,3,0.06,-1.047015759,-3.23805478,-24.35519662,0.14,
1,4/21/1997,1997,APRIL,4,0.21,-0.683237624,,,,
17,4/21/1997,1997,APRIL,4,0.07,-1.022763884,,,,
18,4/21/1997,1997,APRIL,4,0.07,-1.022763884,-2.728765391,-27.08396201,0.35,0.975882353
1,5/21/1997,1997,MAY,5,0.36,-0.319459489,,,,
17,5/21/1997,1997,MAY,5,0.29,-0.489222619,,,,
18,5/21/1997,1997,MAY,5,0.39,-0.246703862,-1.055385969,-28.13934798,1.04,
1,6/11/1997,1997,JUNE,6,0.43,-0.149696359,,,,
17,6/11/1997,1997,JUNE,6,0.33,-0.392215116,,,,
